2026-02-26 05:10:16.543199 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:16.828995 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:16.832116 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:16.835561 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:16.838468 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:17.754351 | UDP | 192.168.100.3:5353 -> 224.0.0.251:5353
2026-02-26 05:10:18.972918 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:18.975753 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:19.014465 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:19.015574 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:19.017159 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:19.019582 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:19.020758 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:19.595229 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:19.597870 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:19.599859 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:19.601715 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:19.618875 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:19.620283 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:20.313540 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:20.318037 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:20.357874 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.359206 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.360991 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.362196 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.363065 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.363939 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.927795 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.930772 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.932215 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.933258 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:20.957828 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:20.960868 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:22.148498 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:22.151234 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:22.190577 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:22.195350 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
